geo,name,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
afg,Afghanistan,1846.70542,1950.30793,1982.97202,2009.69896,2087.41861,2072.50459,2174.12672,2216.92745,2277.64036,2276.91597,2293.42252,2315.33328,2332.01208,2359.7174,2356.25955,2395.48053,2450.51402,2458.46521,2477.91301,2440.25031,2011.68454,2045.25421,2128.51845,2228.08567,2321.43011,2174.25243,2305.19982,2231.85597,2251.28484,2559.45808,2877.34176,3090.44526,3106.35151,3068.05058,3202.21084,2921.86758,2690.10628,2471.80006,2412.90304,2235.39988,2168.64015,1503.96807,1127.76933,1689.0634,1621.28448,1562.46326,1510.20513,1456.3727,1426.50934,1312.2368,1673.64821,1731.14825,1713.2018,1855.22812,1895.55139,2132.60481
ago,Angola,2662.80365,2752.61874,2665.81276,2866.63152,2800.71038,3053.08099,3198.93804,3192.28289,3299.10986,3715.08124,3591.11662,3752.32246,4149.28388,4432.34698,4659.35789,4899.61582,4793.71948,4899.52253,5177.92272,5242.92733,5200.84498,5482.57967,5392.54527,4130.95715,3791.32805,3779.39869,3698.78903,3689.98974,3728.6418,3762.89756,3796.44411,3894.00671,4106.17906,4028.06224,4001.2767,4325.11914,4797.37025,4936.12458,4974.52806,5038.18813,4750.38909,3608.83245,3649.03251,4176.13396,4710.75499,5012.3417,5198.37712,5256.21105,5352.49132,5500.42866,6149.13438,6223.38333,6749.75485,7592.30709,8283.14745,9191.41108
alb,Albania,2142.66697,2224.25617,2279.76095,2395.99947,2413.7574,2559.1456,2665.75421,2766.63056,2898.16273,2912.67272,2999.27267,3091.49739,3186.81625,3292.5959,3405.04572,3524.09874,3638.69536,3750.09196,3876.52082,3977.04801,4075.70634,4198.31698,4222.11544,4248.82637,4279.93591,4309.12542,4350.74581,4390.06161,4416.59612,4750.70417,4951.07187,5046.26201,5165.69868,5161.52412,5363.81775,5366.35653,5387.4375,5814.51126,5490.45562,4000.61805,3769.75645,4156.23308,4522.78284,5095.58379,5509.0003,4898.67228,5349.76525,6059.11547,6558.42258,7210.04538,7578.61364,8024.27537,8490.54991,8977.57267,9577.48492,10272.64516
and,Andorra,11430.41301,12406.29972,13465.94632,14615.97003,15864.50772,17218.38868,18688.84288,20284.38941,22016.56207,23895.6149,25936.32189,28149.29016,30552.62124,33160.26538,35990.81599,39061.65645,42394.8999,46012.9877,49938.69251,49858.60623,51475.84142,53083.79757,53862.08013,52278.05928,52406.44678,52494.84599,51945.36727,50585.30279,50134.87077,48354.81825,47146.32285,46123.75533,45116.18925,44393.44628,44138.33042,44911.14733,45547.33713,46105.20723,46235.61393,44611.1308,42769.13623,40544.31157,40706.94769,42152.12008,44165.73984,47928.86102,49232.97298,51157.50905,52814.6954,56647.45065,58701.07662,61631.28478,62814.03238,64175.8719,65819.16908,65192.704
are,UAE,1908.1675,1944.41375,1981.28414,2018.7888,2055.2912,2094.07384,2378.65715,2701.21363,3066.57278,3469.23164,3924.73373,5167.80997,8908.25835,15351.70704,26456.12798,45590.56046,55563.84975,67715.59125,77424.23701,77758.52078,77276.29175,76855.20841,81899.72386,74397.16075,74828.51253,77210.62007,66864.23872,74943.02753,86120.31136,89746.57279,81728.70391,76865.05787,77325.55399,73827.44139,57859.90219,59712.67201,53000.1345,60289.43083,74726.8204,74483.98654,75567.43966,75520.20218,79711.70017,83835.62829,85799.34087,88459.09472,84615.44633,83124.64145,88047.22698,85242.47915,83319.82832,86396.09866,90067.1992,89813.8553,91960.46888,84698.91602
arg,Argentina,9868.09147,10160.69457,10347.49299,10859.99542,10937.16991,11247.79784,11726.90038,10816.40007,11545.68452,12025.27082,11708.28055,11186.16042,12036.18609,12916.76444,12770.1271,12906.73567,13286.95326,14221.65646,14600.20015,14961.55339,15071.47425,15522.37454,16133.11386,15710.97534,15397.81769,16054.2759,15169.95073,15951.42312,15887.01022,15481.38073,15269.40746,15966.92221,16394.39671,15347.53371,16464.07452,16972.8647,16855.80118,15973.72158,15986.19359,17332.00072,18628.77055,19873.299,20833.55883,20052.88124,20973.06057,22475.89726,23142.27021,22170.63884,21810.83619,20678.60893,18277.79656,19736.98231,21350.38905,23052.59,24704.5175,26716.74246
arm,Armenia,4922.44558,5056.87011,5219.40067,5571.9747,6006.47433,6028.58368,6373.71539,6196.37042,6664.54908,6881.94324,6912.28309,6610.8024,7315.42056,7585.01784,7810.4057,8013.62382,8338.7499,8315.15641,8805.06468,8844.19298,8697.58615,9222.37472,9054.85032,8890.36899,8728.87547,8570.31548,8414.63573,8261.7839,8111.70862,8247.98504,8383.89366,8342.64356,8518.88213,8680.52873,8514.24276,7933.90904,7458.71659,8351.07027,7590.79331,6465.12685,3749.21414,3441.97754,3676.31367,3950.03629,4147.22789,4264.3424,4556.81793,4704.32549,4860.71825,5288.59752,5964.33327,6779.7368,7476.52129,8511.01241,9640.20116,10980.46168
atg,Antigua and Barbuda,4407.42731,4477.82372,4549.13863,4621.3325,4695.53635,4769.3629,4846.25551,4922.69739,5000.94471,5130.31848,5261.67186,5396.03066,5534.38572,5675.52208,5820.41658,5967.87642,6118.86462,6274.31105,6431.98775,6800.35218,7213.01892,7754.42442,7956.9148,7466.27538,6746.35909,7183.95709,7384.58893,8132.66135,8642.1755,9513.7428,9930.73403,10873.73936,12277.60399,13664.53219,15505.09276,17165.30679,18855.8291,20528.87392,21696.89565,21975.59824,21842.33061,22541.01725,23550.13862,22043.3636,22985.91459,23718.08067,24336.43185,24770.44906,25853.23485,24259.00936,24170.76163,25326.21687,26468.17333,27830.44701,30945.55644,33336.85979
aus,Australia,14640.60515,14918.68842,15456.92296,15796.24131,15758.1277,15640.62017,16043.07123,16576.1588,16711.75944,16389.51546,17004.21457,17642.367,18353.84922,18628.36629,18907.88395,19592.00639,20332.845,21068.6152,21583.35614,21915.47038,21998.01538,22587.14444,22557.08136,22732.48554,23198.50571,23020.05156,23412.35103,23927.18628,24128.36428,25836.30877,26227.51997,26346.68034,28278.41254,29895.88309,30482.20523,31944.80359,33488.01588,35372.39585,36304.91547,35680.8378,35729.37179,36887.9858,38070.97216,39087.28166,40136.30978,41271.92453,42783.84906,44369.39423,45546.30419,45886.74826,47144.6969,48004.27426,49439.27404,50323.82948,50945.63779,51853.37495
aut,Austria,8193.12602,8506.50595,9308.17092,10303.01567,10956.49476,11561.04791,11911.96277,12168.6752,13101.66148,13678.76094,13866.40987,14309.78333,15028.78735,15303.73699,16001.8548,16331.50038,16913.06555,17870.74157,19019.11271,19844.53933,20910.73471,21770.22673,22517.33506,22384.13982,23355.67516,24428.34303,24314.25986,25591.73175,26039.61845,27292.67585,28747.97219,30324.34609,31098.96948,32424.94522,33610.12223,34728.93932,36136.26509,38556.89154,41070.5472,42219.38956,42786.2777,42808.8432,43817.65719,45065.66395,46164.60551,47249.87352,48994.13445,50866.81311,52517.46107,53143.62112,53809.15485,54262.66063,55440.73462,56453.61958,58131.01608,60240.1574
